Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/3/2018,24,1,N,HB_HOUSTON,HU,50.98
Jan,1/3/2018,24,2,N,HB_HOUSTON,HU,50.08
Jan,1/3/2018,24,3,N,HB_HOUSTON,HU,49.28
Jan,1/3/2018,24,4,N,HB_HOUSTON,HU,48.45
Jan,1/4/2018,1,1,N,HB_HOUSTON,HU,49.89
Jan,1/4/2018,1,2,N,HB_HOUSTON,HU,48.96
Jan,1/4/2018,1,3,N,HB_HOUSTON,HU,48.05
Jan,1/4/2018,1,4,N,HB_HOUSTON,HU,47.08
Jan,1/4/2018,2,1,N,HB_HOUSTON,HU,47.97
Jan,1/4/2018,2,2,N,HB_HOUSTON,HU,46.24
Jan,1/4/2018,2,3,N,HB_HOUSTON,HU,46.48
Jan,1/4/2018,2,4,N,HB_HOUSTON,HU,46.26
Jan,1/4/2018,3,1,N,HB_HOUSTON,HU,46.43
Jan,1/4/2018,3,2,N,HB_HOUSTON,HU,46.72
Jan,1/4/2018,3,3,N,HB_HOUSTON,HU,47.17
Jan,1/4/2018,3,4,N,HB_HOUSTON,HU,47.97
Jan,1/4/2018,4,1,N,HB_HOUSTON,HU,48.88
Jan,1/4/2018,4,2,N,HB_HOUSTON,HU,50.09
Jan,1/4/2018,4,3,N,HB_HOUSTON,HU,49.9
Jan,1/4/2018,4,4,N,HB_HOUSTON,HU,50.19
Jan,1/4/2018,5,1,N,HB_HOUSTON,HU,51.54
Jan,1/4/2018,5,2,N,HB_HOUSTON,HU,52.17
Jan,1/4/2018,5,3,N,HB_HOUSTON,HU,53.11
Jan,1/4/2018,5,4,N,HB_HOUSTON,HU,56
Jan,1/4/2018,6,1,N,HB_HOUSTON,HU,57.82
Jan,1/4/2018,6,2,N,HB_HOUSTON,HU,56.05
Jan,1/4/2018,6,3,N,HB_HOUSTON,HU,59.12
Jan,1/4/2018,6,4,N,HB_HOUSTON,HU,66.55
Jan,1/4/2018,7,1,N,HB_HOUSTON,HU,73.53
Jan,1/4/2018,7,2,N,HB_HOUSTON,HU,75.84
Jan,1/4/2018,7,3,N,HB_HOUSTON,HU,75.12
Jan,1/4/2018,7,4,N,HB_HOUSTON,HU,76.84
Jan,1/4/2018,8,1,N,HB_HOUSTON,HU,75.52
Jan,1/4/2018,8,2,N,HB_HOUSTON,HU,75.02
Jan,1/4/2018,8,3,N,HB_HOUSTON,HU,71.77
Jan,1/4/2018,8,4,N,HB_HOUSTON,HU,62.8
Jan,1/4/2018,9,1,N,HB_HOUSTON,HU,66.24
Jan,1/4/2018,9,2,N,HB_HOUSTON,HU,62.41
Jan,1/4/2018,9,3,N,HB_HOUSTON,HU,55.29
Jan,1/4/2018,9,4,N,HB_HOUSTON,HU,50.6
